,x_0,y_0,seed,learning_rate,minimizer,n_iter,did_converge
0,-4.217921393037406,1.038418470063296,1000,0.1,RMSProp,10001,False
1,-4.217921393037406,1.038418470063296,1000,0.1,SGD,5602,True
2,-4.217921393037406,1.038418470063296,1000,0.1,ADAM,2484,True
3,-4.081107607145073,-4.842995321796685,1001,0.1,RMSProp,10001,False
4,-4.081107607145073,-4.842995321796685,1001,0.1,SGD,5514,True
5,-4.081107607145073,-4.842995321796685,1001,0.1,ADAM,2382,True
6,-4.4287682607753265,-1.4281066232905304,1002,0.1,RMSProp,10001,False
7,-4.4287682607753265,-1.4281066232905304,1002,0.1,SGD,5737,True
8,-4.4287682607753265,-1.4281066232905304,1002,0.1,ADAM,2619,True
9,-4.71836394759705,-2.432941897811779,1003,0.1,RMSProp,10001,False
10,-4.71836394759705,-2.432941897811779,1003,0.1,SGD,5319,True
11,-4.71836394759705,-2.432941897811779,1003,0.1,ADAM,2795,True
12,-4.998679320888927,-3.6984868787236858,1004,0.1,RMSProp,10001,False
13,-4.998679320888927,-3.6984868787236858,1004,0.1,SGD,5463,True
14,-4.998679320888927,-3.6984868787236858,1004,0.1,ADAM,2954,True
15,-4.876671240398159,4.305620423886037,1005,0.1,RMSProp,10001,False
16,-4.876671240398159,4.305620423886037,1005,0.1,SGD,5400,True
17,-4.876671240398159,4.305620423886037,1005,0.1,ADAM,2885,True
18,-4.494617849640763,1.008569437996548,1006,0.1,RMSProp,10001,False
19,-4.494617849640763,1.008569437996548,1006,0.1,SGD,5779,True
20,-4.494617849640763,1.008569437996548,1006,0.1,ADAM,2661,True
21,-4.893162593808672,3.159803451779432,1007,0.1,RMSProp,10001,False
22,-4.893162593808672,3.159803451779432,1007,0.1,SGD,5409,True
23,-4.893162593808672,3.159803451779432,1007,0.1,ADAM,2895,True
24,-4.749120876418072,3.130507477287791,1008,0.1,RMSProp,10001,False
25,-4.749120876418072,3.130507477287791,1008,0.1,SGD,5335,True
26,-4.749120876418072,3.130507477287791,1008,0.1,ADAM,2813,True
27,-4.915249306919841,-1.7308441232713823,1009,0.1,RMSProp,10001,False
28,-4.915249306919841,-1.7308441232713823,1009,0.1,SGD,5420,True
29,-4.915249306919841,-1.7308441232713823,1009,0.1,ADAM,2908,True
30,-4.857511575557641,0.35805731236843563,1010,0.1,RMSProp,10001,False
31,-4.857511575557641,0.35805731236843563,1010,0.1,SGD,5391,True
32,-4.857511575557641,0.35805731236843563,1010,0.1,ADAM,2873,True
33,-4.573812739474345,0.6332353550939551,1011,0.1,RMSProp,10001,False
34,-4.573812739474345,0.6332353550939551,1011,0.1,SGD,5830,True
35,-4.573812739474345,0.6332353550939551,1011,0.1,ADAM,2708,True
36,-4.5405192750940415,2.8064668437799236,1012,0.1,RMSProp,10001,False
37,-4.5405192750940415,2.8064668437799236,1012,0.1,SGD,5808,True
38,-4.5405192750940415,2.8064668437799236,1012,0.1,ADAM,2688,True
39,-3.808260627040718,-4.210205284257439,1013,0.1,RMSProp,10001,False
40,-3.808260627040718,-4.210205284257439,1013,0.1,SGD,5340,True
